gene1,gene2,gene1_valid,gene2_valid,string_interaction_found,string_combined_score,string_evidence_breakdown,string_source_url,string_curated_overlap_risk,biogrid_interaction_found,biogrid_evidence_count,biogrid_experimental_systems,biogrid_pubmed_ids,biogrid_source_url,tissue,gene1_tissue_expression,gene2_tissue_expression,verdict,notes
RPL15,RPL31,True,True,True,0.999,experimental=0.994; coexpression=0.991; textmining=0.767; neighborhood=0.042,https://string-db.org/cgi/network?identifiers=RPL15%0dRPL31&species=9606,none,True,2,Co-fractionation,22939629; 26344197,https://thebiogrid.org/search.php?search=RPL15%20RPL31,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
ATR,FANCA,True,True,True,0.953,curated_database=0.900; textmining=0.376; experimental=0.292; coexpression=0.068,https://string-db.org/cgi/network?identifiers=ATR%0dFANCA&species=9606,high,True,1,Biochemical Activity,19109555,https://thebiogrid.org/search.php?search=ATR%20FANCA,bone marrow,inconclusive (Detected in many),inconclusive (Detected in many),concordant_positive,"Both StringDB and BioGRID report evidence of interaction. CAVEAT: StringDB's score here is driven mainly by its curated-database channel, which can itself be sourced from BioGRID/IntAct/KEGG/etc. -- this agreement may not be fully independent corroboration."
ATM,TERT,True,True,True,0.825,textmining=0.717; experimental=0.410,https://string-db.org/cgi/network?identifiers=ATM%0dTERT&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=ATM%20TERT,bone marrow,expressed (broadly_detected),not_detected,discordant,"Only StringDB reports evidence; the other source does not. CAVEAT: interaction evidence exists, but TERT is not detected in 'bone marrow' per HPA -- biological relevance in this tissue is questionable."
FANCA,SMARCD2,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=FANCA%0dSMARCD2&species=9606,not_applicable,True,1,Affinity Capture-Luminescence,28215707,https://thebiogrid.org/search.php?search=FANCA%20SMARCD2,bone marrow,inconclusive (Detected in many),expressed (broadly_detected),discordant,Only BioGRID reports evidence; the other source does not.
KIF23,RPS29,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=KIF23%0dRPS29&species=9606,not_applicable,True,1,Affinity Capture-MS,31586073,https://thebiogrid.org/search.php?search=KIF23%20RPS29,bone marrow,expressed (nTPM=20.4),expressed (broadly_detected),discordant,Only BioGRID reports evidence; the other source does not.
ABCB7,ATM,True,True,True,0.41,textmining=0.405; coexpression=0.049,https://string-db.org/cgi/network?identifiers=ABCB7%0dATM&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=ABCB7%20ATM,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
KIF23,RPL31,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=KIF23%0dRPL31&species=9606,not_applicable,True,1,Affinity Capture-MS,31586073,https://thebiogrid.org/search.php?search=KIF23%20RPL31,bone marrow,expressed (nTPM=20.4),expressed (broadly_detected),discordant,Only BioGRID reports evidence; the other source does not.
RPS27,STK4,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=RPS27%0dSTK4&species=9606,not_applicable,True,2,Affinity Capture-MS; Proximity Label-MS,39664081,https://thebiogrid.org/search.php?search=RPS27%20STK4,bone marrow,expressed (broadly_detected),expressed (nTPM=46.4),discordant,Only BioGRID reports evidence; the other source does not.
RPL9,RPS15A,True,True,True,0.999,experimental=0.972; coexpression=0.939; textmining=0.568; neighborhood=0.061,https://string-db.org/cgi/network?identifiers=RPL9%0dRPS15A&species=9606,none,True,4,Co-fractionation; Cross-Linking-MS (XL-MS),22939629; 26344197; 36652389,https://thebiogrid.org/search.php?search=RPL9%20RPS15A,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
FANCI,PARN,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=FANCI%0dPARN&species=9606,not_applicable,True,1,Proximity Label-MS,29395067,https://thebiogrid.org/search.php?search=FANCI%20PARN,bone marrow,expressed (nTPM=28.0),expressed (broadly_detected),discordant,Only BioGRID reports evidence; the other source does not.
NHP2,SRP54,True,True,True,0.568,experimental=0.408; textmining=0.219; coexpression=0.141,https://string-db.org/cgi/network?identifiers=NHP2%0dSRP54&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=NHP2%20SRP54,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
ITGA2B,KIT,True,True,True,0.727,textmining=0.710; coexpression=0.096,https://string-db.org/cgi/network?identifiers=ITGA2B%0dKIT&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=ITGA2B%20KIT,bone marrow,expressed (nTPM=15.7),inconclusive (Detected in many),discordant,Only StringDB reports evidence; the other source does not.
