gene1,gene2,gene1_valid,gene2_valid,string_interaction_found,string_combined_score,string_evidence_breakdown,string_source_url,string_curated_overlap_risk,biogrid_interaction_found,biogrid_evidence_count,biogrid_experimental_systems,biogrid_pubmed_ids,biogrid_source_url,tissue,gene1_tissue_expression,gene2_tissue_expression,verdict,notes
FANCB,XRCC2,True,True,True,0.52,textmining=0.475; coexpression=0.123,https://string-db.org/cgi/network?identifiers=FANCB%0dXRCC2&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=FANCB%20XRCC2,bone marrow,expressed (nTPM=2.3),expressed (nTPM=5.5),discordant,Only StringDB reports evidence; the other source does not.
EFL1,RPS24,True,True,True,0.817,experimental=0.749; coexpression=0.252; textmining=0.107,https://string-db.org/cgi/network?identifiers=EFL1%0dRPS24&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=EFL1%20RPS24,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
GP1BB,TUBB1,True,True,True,0.484,textmining=0.336; coexpression=0.206; experimental=0.099,https://string-db.org/cgi/network?identifiers=GP1BB%0dTUBB1&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=GP1BB%20TUBB1,bone marrow,inconclusive (Detected in many),expressed (nTPM=8.0),discordant,Only StringDB reports evidence; the other source does not.
CEBPA,ETV6,True,True,True,0.719,textmining=0.714; experimental=0.051; coexpression=0.048,https://string-db.org/cgi/network?identifiers=CEBPA%0dETV6&species=9606,none,True,2,Protein-peptide; Proximity Label-MS,34189442,https://thebiogrid.org/search.php?search=CEBPA%20ETV6,bone marrow,inconclusive (Detected in many),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
RPL11,SBDS,True,True,True,0.902,experimental=0.678; textmining=0.639; coexpression=0.227,https://string-db.org/cgi/network?identifiers=RPL11%0dSBDS&species=9606,none,True,1,Affinity Capture-MS,35271311,https://thebiogrid.org/search.php?search=RPL11%20SBDS,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
BRCA1,RPS7,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=BRCA1%0dRPS7&species=9606,not_applicable,True,2,Affinity Capture-MS,25184681; 26831064,https://thebiogrid.org/search.php?search=BRCA1%20RPS7,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only BioGRID reports evidence; the other source does not.
ATR,LIG4,True,True,True,0.629,textmining=0.574; coexpression=0.114; experimental=0.097,https://string-db.org/cgi/network?identifiers=ATR%0dLIG4&species=9606,none,True,1,Protein-peptide,10608806,https://thebiogrid.org/search.php?search=ATR%20LIG4,bone marrow,inconclusive (Detected in many),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
RPL35A,SRP72,True,True,True,0.886,experimental=0.875; textmining=0.104; coexpression=0.062,https://string-db.org/cgi/network?identifiers=RPL35A%0dSRP72&species=9606,none,True,1,Affinity Capture-MS,35271311,https://thebiogrid.org/search.php?search=RPL35A%20SRP72,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
DKC1,TP53,True,True,True,0.516,textmining=0.488; coexpression=0.093,https://string-db.org/cgi/network?identifiers=DKC1%0dTP53&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=DKC1%20TP53,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
CTC1,USB1,True,True,True,0.538,textmining=0.537; coexpression=0.043,https://string-db.org/cgi/network?identifiers=CTC1%0dUSB1&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=CTC1%20USB1,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
CBL,TP53,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=CBL%0dTP53&species=9606,not_applicable,True,2,Affinity Capture-Western,35931247,https://thebiogrid.org/search.php?search=CBL%20TP53,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only BioGRID reports evidence; the other source does not.
RPS27,RPS7,True,True,True,0.999,experimental=0.990; coexpression=0.955; curated_database=0.900; textmining=0.499,https://string-db.org/cgi/network?identifiers=RPS27%0dRPS7&species=9606,high,True,12,Co-fractionation; Cross-Linking-MS (XL-MS); Proximity Label-MS,22863883; 26344197; 28524877; 30021884; 31839598; 34349018; 34535262; 35235311; 35831314; 37071682; 38334954,https://thebiogrid.org/search.php?search=RPS27%20RPS7,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,"Both StringDB and BioGRID report evidence of interaction. CAVEAT: StringDB's score here is driven mainly by its curated-database channel, which can itself be sourced from BioGRID/IntAct/KEGG/etc. -- this agreement may not be fully independent corroboration."
GATA1,RPL35A,True,True,True,0.406,textmining=0.406,https://string-db.org/cgi/network?identifiers=GATA1%0dRPL35A&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=GATA1%20RPL35A,bone marrow,expressed (nTPM=55.7),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
TERT,THPO,True,True,True,0.409,textmining=0.405; coexpression=0.049,https://string-db.org/cgi/network?identifiers=TERT%0dTHPO&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=TERT%20THPO,bone marrow,not_detected,inconclusive (Detected in many),discordant,"Only StringDB reports evidence; the other source does not. CAVEAT: interaction evidence exists, but TERT is not detected in 'bone marrow' per HPA -- biological relevance in this tissue is questionable."
BRIP1,TP53,True,True,True,0.645,textmining=0.418; curated_database=0.400; coexpression=0.067,https://string-db.org/cgi/network?identifiers=BRIP1%0dTP53&species=9606,low,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=BRIP1%20TP53,bone marrow,expressed (nTPM=2.6),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
CDAN1,SEC23B,True,True,True,0.944,textmining=0.944,https://string-db.org/cgi/network?identifiers=CDAN1%0dSEC23B&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=CDAN1%20SEC23B,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
RPL26,STK4,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=RPL26%0dSTK4&species=9606,not_applicable,True,2,Affinity Capture-MS; Proximity Label-MS,39664081,https://thebiogrid.org/search.php?search=RPL26%20STK4,bone marrow,expressed (broadly_detected),expressed (nTPM=46.4),discordant,Only BioGRID reports evidence; the other source does not.
SRP54,SRP72,True,True,True,0.999,textmining=0.999; experimental=0.994; curated_database=0.900; coexpression=0.098,https://string-db.org/cgi/network?identifiers=SRP54%0dSRP72&species=9606,high,True,2,Affinity Capture-MS,33961781; 35271311,https://thebiogrid.org/search.php?search=SRP54%20SRP72,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,"Both StringDB and BioGRID report evidence of interaction. CAVEAT: StringDB's score here is driven mainly by its curated-database channel, which can itself be sourced from BioGRID/IntAct/KEGG/etc. -- this agreement may not be fully independent corroboration."
FANCE,RPS19,True,True,True,0.976,experimental=0.840; coexpression=0.752; textmining=0.409; neighborhood=0.115,https://string-db.org/cgi/network?identifiers=FANCE%0dRPS19&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=FANCE%20RPS19,bone marrow,inconclusive (Detected in many),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
TP53,WAS,True,True,True,0.53,textmining=0.529; coexpression=0.044,https://string-db.org/cgi/network?identifiers=TP53%0dWAS&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=TP53%20WAS,bone marrow,expressed (broadly_detected),expressed (nTPM=61.5),discordant,Only StringDB reports evidence; the other source does not.
ABCB7,PUS1,True,True,True,0.632,textmining=0.631; coexpression=0.044,https://string-db.org/cgi/network?identifiers=ABCB7%0dPUS1&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=ABCB7%20PUS1,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
ERCC4,RFWD3,True,True,True,0.649,textmining=0.643; coexpression=0.056,https://string-db.org/cgi/network?identifiers=ERCC4%0dRFWD3&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=ERCC4%20RFWD3,bone marrow,expressed (broadly_detected),expressed (nTPM=44.9),discordant,Only StringDB reports evidence; the other source does not.
AP3B1,LYST,True,True,True,0.805,textmining=0.797; experimental=0.071; coexpression=0.049,https://string-db.org/cgi/network?identifiers=AP3B1%0dLYST&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=AP3B1%20LYST,bone marrow,expressed (broadly_detected),expressed (nTPM=97.8),discordant,Only StringDB reports evidence; the other source does not.
GATA2,PTPN11,True,True,True,0.52,textmining=0.520,https://string-db.org/cgi/network?identifiers=GATA2%0dPTPN11&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=GATA2%20PTPN11,bone marrow,inconclusive (Detected in many),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
RPL9,RPS19,True,True,True,0.999,experimental=0.993; coexpression=0.990; textmining=0.448,https://string-db.org/cgi/network?identifiers=RPL9%0dRPS19&species=9606,none,True,2,Co-fractionation,22939629; 26344197,https://thebiogrid.org/search.php?search=RPL9%20RPS19,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
ATR,FANCL,True,True,True,0.631,curated_database=0.500; textmining=0.262; coexpression=0.081,https://string-db.org/cgi/network?identifiers=ATR%0dFANCL&species=9606,high,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=ATR%20FANCL,bone marrow,inconclusive (Detected in many),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
ATM,DNMT3A,True,True,True,0.478,textmining=0.475; coexpression=0.047,https://string-db.org/cgi/network?identifiers=ATM%0dDNMT3A&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=ATM%20DNMT3A,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
NHEJ1,PALB2,True,True,True,0.725,curated_database=0.540; textmining=0.401; coexpression=0.085,https://string-db.org/cgi/network?identifiers=NHEJ1%0dPALB2&species=9606,high,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=NHEJ1%20PALB2,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
ERCC4,NHEJ1,True,True,True,0.923,curated_database=0.900; textmining=0.255; coexpression=0.049,https://string-db.org/cgi/network?identifiers=ERCC4%0dNHEJ1&species=9606,high,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=ERCC4%20NHEJ1,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
RUNX1,TERT,True,True,True,0.493,textmining=0.493,https://string-db.org/cgi/network?identifiers=RUNX1%0dTERT&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=RUNX1%20TERT,bone marrow,expressed (nTPM=42.9),not_detected,discordant,"Only StringDB reports evidence; the other source does not. CAVEAT: interaction evidence exists, but TERT is not detected in 'bone marrow' per HPA -- biological relevance in this tissue is questionable."
RPL27,TP53,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=RPL27%0dTP53&species=9606,not_applicable,True,2,Affinity Capture-MS,23443559; 25144556,https://thebiogrid.org/search.php?search=RPL27%20TP53,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only BioGRID reports evidence; the other source does not.
ELANE,G6PC3,True,True,True,0.636,textmining=0.636,https://string-db.org/cgi/network?identifiers=ELANE%0dG6PC3&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=ELANE%20G6PC3,bone marrow,expressed (nTPM=3672.0),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
ERCC4,FANCD2,True,True,True,0.957,textmining=0.868; curated_database=0.540; experimental=0.301; coexpression=0.101,https://string-db.org/cgi/network?identifiers=ERCC4%0dFANCD2&species=9606,high,True,2,Affinity Capture-MS,24794430; 31180492,https://thebiogrid.org/search.php?search=ERCC4%20FANCD2,bone marrow,expressed (broadly_detected),expressed (nTPM=12.8),concordant_positive,"Both StringDB and BioGRID report evidence of interaction. CAVEAT: StringDB's score here is driven mainly by its curated-database channel, which can itself be sourced from BioGRID/IntAct/KEGG/etc. -- this agreement may not be fully independent corroboration."
RPS27A,RPS7,True,True,True,0.999,experimental=0.991; coexpression=0.971; curated_database=0.900; textmining=0.375,https://string-db.org/cgi/network?identifiers=RPS27A%0dRPS7&species=9606,high,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=RPS27A%20RPS7,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
RPS28,RPS7,True,True,True,0.999,experimental=0.991; coexpression=0.975; curated_database=0.900; textmining=0.547,https://string-db.org/cgi/network?identifiers=RPS28%0dRPS7&species=9606,high,True,1,Co-fractionation,22863883,https://thebiogrid.org/search.php?search=RPS28%20RPS7,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,"Both StringDB and BioGRID report evidence of interaction. CAVEAT: StringDB's score here is driven mainly by its curated-database channel, which can itself be sourced from BioGRID/IntAct/KEGG/etc. -- this agreement may not be fully independent corroboration."
NOP10,POT1,True,True,True,0.815,textmining=0.646; curated_database=0.500,https://string-db.org/cgi/network?identifiers=NOP10%0dPOT1&species=9606,high,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=NOP10%20POT1,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
GATA1,GP9,True,True,True,0.56,textmining=0.450; coexpression=0.221; experimental=0.055,https://string-db.org/cgi/network?identifiers=GATA1%0dGP9&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=GATA1%20GP9,bone marrow,expressed (nTPM=55.7),expressed (nTPM=4.8),discordant,Only StringDB reports evidence; the other source does not.
DNMT3A,TERT,True,True,True,0.475,textmining=0.447; coexpression=0.089,https://string-db.org/cgi/network?identifiers=DNMT3A%0dTERT&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=DNMT3A%20TERT,bone marrow,expressed (broadly_detected),not_detected,discordant,"Only StringDB reports evidence; the other source does not. CAVEAT: interaction evidence exists, but TERT is not detected in 'bone marrow' per HPA -- biological relevance in this tissue is questionable."
GP9,MPL,True,True,True,0.822,coexpression=0.673; textmining=0.480,https://string-db.org/cgi/network?identifiers=GP9%0dMPL&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=GP9%20MPL,bone marrow,expressed (nTPM=4.8),inconclusive (Detected in some),discordant,Only StringDB reports evidence; the other source does not.
GP9,ITGA2B,True,True,True,0.98,textmining=0.914; coexpression=0.783; experimental=0.050,https://string-db.org/cgi/network?identifiers=GP9%0dITGA2B&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=GP9%20ITGA2B,bone marrow,expressed (nTPM=4.8),expressed (nTPM=15.7),discordant,Only StringDB reports evidence; the other source does not.
NOP10,RPS26,True,True,True,0.451,textmining=0.327; coexpression=0.218,https://string-db.org/cgi/network?identifiers=NOP10%0dRPS26&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=NOP10%20RPS26,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
FANCL,GATA1,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=FANCL%0dGATA1&species=9606,not_applicable,True,1,Two-hybrid,32296183,https://thebiogrid.org/search.php?search=FANCL%20GATA1,bone marrow,expressed (broadly_detected),expressed (nTPM=55.7),discordant,Only BioGRID reports evidence; the other source does not.
CXCR2,CXCR4,True,True,True,0.992,textmining=0.984; curated_database=0.500; coexpression=0.122,https://string-db.org/cgi/network?identifiers=CXCR2%0dCXCR4&species=9606,high,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=CXCR2%20CXCR4,bone marrow,inconclusive (Detected in many),expressed (nTPM=1175.0),discordant,Only StringDB reports evidence; the other source does not.
FANCB,FANCD2,True,True,True,0.999,textmining=0.945; curated_database=0.900; experimental=0.800; coexpression=0.269,https://string-db.org/cgi/network?identifiers=FANCB%0dFANCD2&species=9606,high,True,1,Affinity Capture-MS,31180492,https://thebiogrid.org/search.php?search=FANCB%20FANCD2,bone marrow,expressed (nTPM=2.3),expressed (nTPM=12.8),concordant_positive,"Both StringDB and BioGRID report evidence of interaction. CAVEAT: StringDB's score here is driven mainly by its curated-database channel, which can itself be sourced from BioGRID/IntAct/KEGG/etc. -- this agreement may not be fully independent corroboration."
POT1,RPS19,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=POT1%0dRPS19&species=9606,not_applicable,True,1,Affinity Capture-MS,20811636,https://thebiogrid.org/search.php?search=POT1%20RPS19,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only BioGRID reports evidence; the other source does not.
NHEJ1,TP53,True,True,True,0.445,textmining=0.433; coexpression=0.061,https://string-db.org/cgi/network?identifiers=NHEJ1%0dTP53&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=NHEJ1%20TP53,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
GATA1,RPS26,True,True,True,0.445,textmining=0.445,https://string-db.org/cgi/network?identifiers=GATA1%0dRPS26&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=GATA1%20RPS26,bone marrow,expressed (nTPM=55.7),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
ATM,KRAS,True,True,True,0.718,textmining=0.702; experimental=0.071; coexpression=0.063,https://string-db.org/cgi/network?identifiers=ATM%0dKRAS&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=ATM%20KRAS,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
GATA2,MPL,True,True,True,0.505,textmining=0.480; coexpression=0.087,https://string-db.org/cgi/network?identifiers=GATA2%0dMPL&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=GATA2%20MPL,bone marrow,inconclusive (Detected in many),inconclusive (Detected in some),discordant,Only StringDB reports evidence; the other source does not.
BRCA2,MAD2L2,True,True,True,0.658,textmining=0.658,https://string-db.org/cgi/network?identifiers=BRCA2%0dMAD2L2&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=BRCA2%20MAD2L2,bone marrow,expressed (nTPM=5.2),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
JAK2,MPL,True,True,True,0.982,textmining=0.904; curated_database=0.650; experimental=0.528,https://string-db.org/cgi/network?identifiers=JAK2%0dMPL&species=9606,high,True,1,Affinity Capture-Western,30755420,https://thebiogrid.org/search.php?search=JAK2%20MPL,bone marrow,expressed (broadly_detected),inconclusive (Detected in some),concordant_positive,"Both StringDB and BioGRID report evidence of interaction. CAVEAT: StringDB's score here is driven mainly by its curated-database channel, which can itself be sourced from BioGRID/IntAct/KEGG/etc. -- this agreement may not be fully independent corroboration."
ATM,BRCA1,True,True,True,0.999,textmining=0.999; curated_database=0.900; experimental=0.847; coexpression=0.042,https://string-db.org/cgi/network?identifiers=ATM%0dBRCA1&species=9606,high,True,12,Affinity Capture-Western; Biochemical Activity; Co-purification; Protein-peptide; Proximity Label-MS; Reconstituted Complex,10550055; 10608806; 10783165; 10866324; 11114888; 15713674; 17478428; 18344987; 29656893,https://thebiogrid.org/search.php?search=ATM%20BRCA1,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,"Both StringDB and BioGRID report evidence of interaction. CAVEAT: StringDB's score here is driven mainly by its curated-database channel, which can itself be sourced from BioGRID/IntAct/KEGG/etc. -- this agreement may not be fully independent corroboration."
RPS15A,RPS7,True,True,True,0.999,experimental=0.992; coexpression=0.928; curated_database=0.900; textmining=0.380,https://string-db.org/cgi/network?identifiers=RPS15A%0dRPS7&species=9606,high,True,5,Affinity Capture-MS; Co-fractionation,22863883; 22939629; 26344197; 28514442; 35831314,https://thebiogrid.org/search.php?search=RPS15A%20RPS7,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,"Both StringDB and BioGRID report evidence of interaction. CAVEAT: StringDB's score here is driven mainly by its curated-database channel, which can itself be sourced from BioGRID/IntAct/KEGG/etc. -- this agreement may not be fully independent corroboration."
ATM,RPL5,True,True,True,0.414,textmining=0.260; experimental=0.226; coexpression=0.060,https://string-db.org/cgi/network?identifiers=ATM%0dRPL5&species=9606,none,True,1,Co-localization,30252118,https://thebiogrid.org/search.php?search=ATM%20RPL5,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
RPS10,TSR2,True,True,True,0.631,textmining=0.620; coexpression=0.067,https://string-db.org/cgi/network?identifiers=RPS10%0dTSR2&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=RPS10%20TSR2,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
AK2,PGM3,True,True,True,0.515,textmining=0.477; experimental=0.082; coexpression=0.069; neighborhood=0.042,https://string-db.org/cgi/network?identifiers=AK2%0dPGM3&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=AK2%20PGM3,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
RPL5,STK4,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=RPL5%0dSTK4&species=9606,not_applicable,True,2,Affinity Capture-MS; Proximity Label-MS,39664081,https://thebiogrid.org/search.php?search=RPL5%20STK4,bone marrow,expressed (broadly_detected),expressed (nTPM=46.4),discordant,Only BioGRID reports evidence; the other source does not.
PAX5,TP53,True,True,True,0.598,textmining=0.571; coexpression=0.103,https://string-db.org/cgi/network?identifiers=PAX5%0dTP53&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=PAX5%20TP53,bone marrow,inconclusive (Detected in some),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
KIT,MPL,True,True,True,0.694,textmining=0.693; coexpression=0.047,https://string-db.org/cgi/network?identifiers=KIT%0dMPL&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=KIT%20MPL,bone marrow,inconclusive (Detected in many),inconclusive (Detected in some),discordant,Only StringDB reports evidence; the other source does not.
GATA1,RUNX1,True,True,True,0.989,textmining=0.978; curated_database=0.500; experimental=0.132,https://string-db.org/cgi/network?identifiers=GATA1%0dRUNX1&species=9606,high,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=GATA1%20RUNX1,bone marrow,expressed (nTPM=55.7),expressed (nTPM=42.9),discordant,Only StringDB reports evidence; the other source does not.
CEBPA,SRP54,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=CEBPA%0dSRP54&species=9606,not_applicable,True,1,Protein-peptide,34189442,https://thebiogrid.org/search.php?search=CEBPA%20SRP54,bone marrow,inconclusive (Detected in many),expressed (broadly_detected),discordant,Only BioGRID reports evidence; the other source does not.
TINF2,WRAP53,True,True,True,0.9,textmining=0.810; curated_database=0.500,https://string-db.org/cgi/network?identifiers=TINF2%0dWRAP53&species=9606,high,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=TINF2%20WRAP53,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
FANCB,FANCI,True,True,True,0.999,textmining=0.947; curated_database=0.900; experimental=0.800; coexpression=0.167,https://string-db.org/cgi/network?identifiers=FANCB%0dFANCI&species=9606,high,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=FANCB%20FANCI,bone marrow,expressed (nTPM=2.3),expressed (nTPM=28.0),discordant,Only StringDB reports evidence; the other source does not.
GP1BA,TUBB1,True,True,True,0.558,textmining=0.402; coexpression=0.245; experimental=0.099,https://string-db.org/cgi/network?identifiers=GP1BA%0dTUBB1&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=GP1BA%20TUBB1,bone marrow,expressed (nTPM=4.6),expressed (nTPM=8.0),discordant,Only StringDB reports evidence; the other source does not.
NBN,RPS27A,True,True,True,0.548,curated_database=0.500; textmining=0.127; coexpression=0.047,https://string-db.org/cgi/network?identifiers=NBN%0dRPS27A&species=9606,high,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=NBN%20RPS27A,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
BLM,TP53,True,True,True,0.932,experimental=0.844; curated_database=0.400; textmining=0.324; coexpression=0.059,https://string-db.org/cgi/network?identifiers=BLM%0dTP53&species=9606,low,True,18,Affinity Capture-MS; Affinity Capture-Western; Co-fractionation; Co-localization; Proximity Label-MS; Reconstituted Complex; Two-hybrid,11399766; 11781842; 12080066; 12606585; 15364958; 15806145; 24239288; 32807901; 34795231; 35831314; 38580884,https://thebiogrid.org/search.php?search=BLM%20TP53,bone marrow,expressed (nTPM=5.3),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
FANCD2,RFWD3,True,True,True,0.702,textmining=0.668; coexpression=0.139,https://string-db.org/cgi/network?identifiers=FANCD2%0dRFWD3&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=FANCD2%20RFWD3,bone marrow,expressed (nTPM=12.8),expressed (nTPM=44.9),discordant,Only StringDB reports evidence; the other source does not.
BLM,RTEL1,True,True,True,0.832,textmining=0.716; curated_database=0.400; coexpression=0.090; neighborhood=0.047,https://string-db.org/cgi/network?identifiers=BLM%0dRTEL1&species=9606,low,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=BLM%20RTEL1,bone marrow,expressed (nTPM=5.3),inconclusive (Detected in many),discordant,Only StringDB reports evidence; the other source does not.
RPS26,SBDS,True,True,True,0.44,textmining=0.431; coexpression=0.057,https://string-db.org/cgi/network?identifiers=RPS26%0dSBDS&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=RPS26%20SBDS,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
